iter	Passed	Remaining
0	60	236454
1	119	235010
2	179	235317
3	238	234265
4	300	236726
5	363	238647
6	431	242248
7	490	240951
8	551	240846
9	612	240791
10	670	239522
11	728	238623
12	792	239420
13	849	238272
14	909	237940
15	966	237209
16	1025	236788
17	1083	236052
18	1145	236437
19	1205	236281
20	1266	236333
21	1322	235621
22	1371	233624
23	1459	238278
24	1525	238919
25	1575	237268
26	1626	235733
27	1677	234463
28	1734	233998
29	1791	233554
30	1843	232570
31	1897	231776
32	1954	231450
33	2005	230407
34	2056	229540
35	2110	228973
36	2166	228637
37	2220	228070
38	2275	227632
39	2330	227254
40	2382	226612
41	2440	226555
42	2500	226698
43	2562	226987
44	2616	226535
45	2670	226111
46	2721	225441
47	2777	225267
48	2832	224952
49	2889	224860
50	2940	224318
51	2993	223864
52	3044	223340
53	3103	223360
54	3155	222975
55	3209	222655
56	3261	222226
57	3318	222147
58	3369	221730
59	3424	221530
60	3473	220960
61	3527	220712
62	3579	220356
63	3635	220242
64	3688	219923
65	3745	219913
66	3797	219595
67	3849	219261
68	3904	219076
69	3954	218667
70	4006	218378
71	4058	218082
72	4109	217741
73	4159	217344
74	4212	217132
75	4267	217019
76	4326	217091
77	4378	216844
78	4429	216560
79	4484	216452
80	4540	216351
81	4597	216374
82	4656	216457
83	4718	216664
84	4774	216582
85	4825	216287
86	4883	216312
87	4935	216078
88	4988	215926
89	5043	215792
90	5096	215600
91	5149	215442
92	5202	215242
93	5256	215134
94	5311	215032
95	5364	214846
96	5417	214697
97	5470	214519
98	5522	214312
99	5573	214061
100	5623	213799
101	5679	213757
102	5732	213606
103	5792	213725
104	5847	213614
105	5897	213366
106	5947	213100
107	6002	213018
108	6054	212865
109	6113	212910
110	6172	212995
111	6227	212905
112	6285	212925
113	6344	212997
114	6402	213016
115	6453	212810
116	6511	212812
117	6565	212709
118	6616	212510
119	6666	212286
120	6721	212187
121	6779	212231
122	6839	212310
123	6896	212280
124	6949	212163
125	7003	212048
126	7055	211894
127	7110	211825
128	7164	211709
129	7218	211615
130	7273	211528
131	7327	211454
132	7382	211365
133	7434	211218
134	7492	211236
135	7541	210986
136	7594	210873
137	7646	210718
138	7700	210631
139	7755	210562
140	7813	210583
141	7871	210596
142	7923	210448
143	7978	210366
144	8031	210252
145	8083	210113
146	8136	210006
147	8194	210005
148	8245	209855
149	8297	209711
150	8349	209565
151	8402	209454
152	8455	209350
153	8509	209267
154	8558	209046
155	8608	208868
156	8662	208792
157	8715	208670
158	8768	208579
159	8825	208554
160	8883	208570
161	8936	208468
162	8998	208562
163	9058	208620
