iter	RMSE
0	26.47917241
1	26.47758292
2	26.47636776
3	26.47522919
4	26.47417201
5	26.47321703
6	26.47229089
7	26.47136626
8	26.4706067
9	26.46991082
10	26.4693612
11	26.46865373
12	26.46807111
13	26.46764294
14	26.46717148
15	26.46673944
16	26.46624948
17	26.46564045
18	26.46500366
19	26.46450967
20	26.46419787
21	26.46344906
22	26.46280245
23	26.46230255
24	26.46174276
25	26.4612906
26	26.4608476
27	26.46051033
28	26.46003819
29	26.45946545
30	26.45910382
31	26.45874473
32	26.45826622
33	26.45775771
34	26.45727055
35	26.45679448
36	26.45650331
37	26.4560903
38	26.45550349
39	26.45503284
40	26.454563
41	26.45389722
42	26.45353873
43	26.45310913
44	26.45271422
45	26.45211326
46	26.45168472
47	26.45137251
48	26.45096517
49	26.45043957
50	26.45010319
51	26.44969728
52	26.4492232
53	26.44882919
54	26.44837617
55	26.44792269
56	26.44750303
57	26.44706546
58	26.44664295
59	26.44623185
60	26.44579036
61	26.4452558
62	26.44496053
63	26.44448976
64	26.44412179
65	26.44362625
66	26.44311405
67	26.44273303
68	26.44223031
69	26.44164111
70	26.44128563
71	26.44083627
72	26.44063174
73	26.44029348
74	26.43990644
75	26.4394571
76	26.43901975
77	26.43832379
78	26.43803551
79	26.4376467
80	26.43726928
81	26.43685654
82	26.43639636
83	26.43600256
84	26.43550689
85	26.43508571
86	26.43466101
87	26.4342611
88	26.43389112
89	26.43366686
90	26.43335767
91	26.43280533
92	26.43242637
93	26.43192798
94	26.43140404
95	26.43103839
96	26.43070876
97	26.43039559
98	26.4302166
99	26.42975502
100	26.42932533
101	26.4289681
102	26.42854949
103	26.42821566
104	26.42797998
105	26.42759021
