iter	Passed	Remaining
0	23	11757
1	45	11438
2	66	11084
3	86	10754
4	108	10705
5	128	10577
6	147	10394
7	169	10426
8	194	10634
9	216	10600
10	234	10433
11	254	10351
12	275	10311
13	298	10362
14	318	10299
15	342	10347
16	363	10328
17	384	10299
18	408	10332
19	428	10283
20	451	10295
21	474	10311
22	498	10333
23	520	10320
24	543	10324
25	566	10326
26	588	10315
27	639	10781
28	668	10850
29	690	10811
30	711	10759
31	731	10704
32	754	10673
33	775	10624
34	801	10650
35	820	10576
36	841	10532
37	862	10485
38	885	10470
39	910	10470
40	935	10467
41	962	10493
42	984	10464
43	1007	10446
44	1032	10437
45	1059	10457
46	1080	10417
47	1105	10410
48	1127	10375
49	1147	10331
50	1167	10278
51	1189	10244
52	1210	10210
53	1230	10165
54	1252	10136
55	1273	10097
56	1295	10067
57	1316	10032
58	1336	9988
59	1360	9978
60	1385	9970
61	1412	9975
62	1438	9976
63	1468	10004
64	1495	10006
65	1519	9988
66	1539	9946
67	1561	9922
68	1581	9881
69	1622	9969
70	1651	9978
71	1672	9944
72	1697	9931
73	1718	9894
74	1736	9842
75	1759	9815
76	1780	9779
77	1801	9744
78	1822	9711
79	1843	9677
80	1865	9651
81	1884	9606
82	1904	9566
83	1924	9531
84	1948	9514
85	1969	9482
86	1990	9447
87	2011	9417
88	2032	9384
89	2051	9346
90	2072	9315
91	2093	9285
92	2112	9244
93	2132	9210
94	2151	9172
95	2173	9147
96	2196	9123
97	2216	9091
98	2238	9065
99	2257	9031
100	2277	8997
101	2298	8969
102	2319	8938
103	2341	8916
104	2362	8887
105	2384	8862
