iter	MultiClass
0	1.945036042
1	1.944306667
2	1.943696042
3	1.943174583
4	1.942722083
5	1.942324583
6	1.941977083
7	1.9414225
8	1.940973542
9	1.940575625
10	1.940227292
11	1.93991875
12	1.939649583
13	1.939406042
14	1.939192083
15	1.938974375
16	1.938795833
17	1.938630833
18	1.938463542
19	1.938315208
20	1.938188958
21	1.937984167
22	1.937794792
23	1.937605417
24	1.937405833
25	1.937218958
26	1.937001458
27	1.93678375
28	1.936618958
29	1.936454583
30	1.936307917
31	1.936153125
32	1.936012708
33	1.93587375
34	1.935740833
35	1.935625417
36	1.93548375
37	1.935338333
38	1.935231042
39	1.935103333
40	1.934990417
41	1.93486875
42	1.93475625
43	1.934645833
44	1.93455
45	1.934443958
46	1.934346667
47	1.934258125
48	1.934153333
49	1.934039167
50	1.933941875
51	1.933847083
52	1.933719792
53	1.933619583
54	1.933534375
55	1.933424375
56	1.933330833
57	1.933234792
58	1.933135417
59	1.933013958
60	1.932916042
61	1.932826042
62	1.93272
63	1.932628542
64	1.932544583
65	1.932440625
66	1.932339375
67	1.932245
68	1.932151875
69	1.932048333
70	1.931941667
71	1.931853333
72	1.931774167
73	1.931673333
74	1.931586667
75	1.931506042
76	1.931421042
77	1.931312292
78	1.931235208
79	1.93112875
80	1.931045208
81	1.930956042
82	1.930868125
83	1.93078375
84	1.930680625
85	1.930573333
86	1.930493958
87	1.930392708
88	1.930321667
89	1.930215625
90	1.930119375
91	1.930015
92	1.929909583
93	1.929817083
94	1.929733333
95	1.929654792
96	1.929566875
97	1.929480625
98	1.92939625
99	1.9293225
100	1.929233125
101	1.9291475
102	1.929061667
103	1.929001458
104	1.928908125
105	1.928845
106	1.928764583
107	1.928654167
108	1.928567083
109	1.9284725
110	1.928384375
111	1.928302083
112	1.928222083
113	1.928138333
114	1.928061042
115	1.927982917
116	1.927895208
117	1.927823542
118	1.927743958
119	1.927666458
120	1.927577708
121	1.927494375
122	1.927400625
123	1.927316042
124	1.927236458
125	1.92716375
126	1.927065625
127	1.926976875
128	1.926894375
129	1.926819583
130	1.92675125
131	1.926679792
132	1.926593125
133	1.926507708
134	1.926425208
135	1.926349792
136	1.926266875
137	1.926193958
138	1.926113333
139	1.926043958
140	1.925983958
141	1.925906667
142	1.92583
143	1.925756042
144	1.925670208
145	1.925612917
146	1.925527917
147	1.925443958
148	1.925360208
149	1.92529125
150	1.925231042
151	1.925165625
152	1.925080417
153	1.925009792
154	1.924955208
155	1.924871042
156	1.9248025
157	1.924740833
158	1.9246725
159	1.92460875
160	1.924532708
161	1.924465
162	1.924399792
163	1.924331875
164	1.924251667
165	1.924178542
166	1.924099792
167	1.924054167
168	1.923992708
169	1.9239325
170	1.923858333
171	1.923785625
172	1.923699375
173	1.923627083
174	1.923546875
175	1.923498333
176	1.923425417
177	1.923366458
178	1.923287292
179	1.923230417
180	1.923165
181	1.923093125
182	1.923022708
183	1.922953125
184	1.922881042
185	1.922839167
186	1.922763333
187	1.922680833
188	1.922605833
189	1.922534792
190	1.922460625
191	1.922391042
192	1.922334792
193	1.922278333
194	1.922217083
195	1.922174583
196	1.922121875
197	1.922047083
198	1.921979583
199	1.921931667
200	1.921850417
201	1.921789375
202	1.9217225
203	1.921654792
204	1.921596042
205	1.921525625
206	1.92148125
207	1.921414375
208	1.921341042
209	1.921305833
210	1.921242917
211	1.921174167
212	1.921111667
213	1.921086875
214	1.921017917
215	1.920974583
216	1.920932292
217	1.920868125
218	1.92082375
219	1.920769792
220	1.920723333
221	1.920665417
222	1.920601458
223	1.92057875
224	1.920536667
225	1.920494375
226	1.920426667
227	1.920404583
228	1.920348542
229	1.920286042
230	1.920221042
231	1.920147292
232	1.920082292
233	1.920037708
234	1.9200025
235	1.919946875
236	1.919907708
237	1.91985625
238	1.919819792
239	1.919784167
240	1.919720833
241	1.91966125
242	1.91962125
243	1.919558333
244	1.919495625
245	1.919461042
246	1.919395417
247	1.919335208
248	1.919267083
249	1.919241042
250	1.919170208
251	1.919107292
252	1.919042083
253	1.918958333
254	1.918894583
255	1.918828542
256	1.918771667
257	1.918707292
258	1.9186375
259	1.918580833
260	1.91853
261	1.91848875
262	1.918423125
263	1.918384167
264	1.918359167
265	1.918320417
266	1.918279375
267	1.918211042
268	1.9181525
269	1.918116042
270	1.918063958
271	1.918010625
272	1.91796
273	1.9179275
274	1.917870833
275	1.917808542
276	1.917760625
277	1.917721042
278	1.917684792
279	1.917622708
280	1.917565833
281	1.917509792
282	1.917473125
283	1.91743875
284	1.917377708
285	1.91731
286	1.917246667
287	1.917196042
288	1.917136667
289	1.917074792
290	1.917015625
291	1.916962292
292	1.916925
293	1.916884583
294	1.916828333
295	1.916788333
296	1.916755
297	1.916683958
298	1.916623958
299	1.916565625
300	1.916497083
301	1.916447292
302	1.916413542
303	1.9163525
304	1.916316042
305	1.916273958
306	1.91623875
307	1.916173958
308	1.916139583
309	1.916080208
310	1.916027292
311	1.9159625
312	1.915938333
313	1.9158775
314	1.915815417
315	1.915781667
316	1.915712917
317	1.91566875
318	1.915622083
319	1.915565208
320	1.915527292
321	1.915470625
322	1.915428125
323	1.915374167
324	1.915338958
325	1.915321042
326	1.915265417
327	1.915242083
328	1.915210833
329	1.91516875
330	1.915101875
331	1.915056458
332	1.915013958
333	1.914956458
334	1.914902083
335	1.914844167
336	1.91480375
337	1.914760208
338	1.914724167
339	1.914688542
340	1.914633333
341	1.91457125
342	1.9145525
343	1.9145
344	1.914447708
345	1.91440875
346	1.914358958
347	1.91432125
348	1.914264792
349	1.914217708
350	1.914170208
351	1.914112708
352	1.914052292
353	1.913991875
354	1.913925208
355	1.913898125
356	1.91384875
357	1.913809167
358	1.913755
359	1.913698125
360	1.913635625
361	1.913571667
362	1.913527917
363	1.913467708
364	1.913394583
365	1.913344375
366	1.913312083
367	1.913259792
368	1.913213333
369	1.913160833
370	1.913106875
371	1.913055833
372	1.912989167
373	1.912963958
374	1.912905625
375	1.912870625
376	1.912805833
377	1.912747708
378	1.912708333
379	1.912652708
380	1.912600625
381	1.912549792
