iter	Passed	Remaining
0	20	20199
1	40	20424
2	60	20208
3	80	20030
4	99	19822
5	118	19692
6	139	19844
7	163	20276
8	182	20095
9	203	20128
10	224	20217
11	246	20331
12	267	20329
13	289	20406
14	380	24962
15	414	25496
16	434	25152
17	453	24757
18	472	24416
19	492	24145
20	510	23798
21	528	23484
22	546	23215
23	563	22931
24	583	22745
25	602	22582
26	622	22426
27	641	22257
28	661	22149
29	680	21997
30	698	21844
31	717	21705
32	737	21620
33	757	21513
34	774	21361
35	791	21185
36	807	21022
37	825	20892
38	842	20770
39	860	20657
40	877	20522
41	895	20423
42	914	20345
43	932	20251
44	950	20161
45	967	20074
46	984	19964
47	1002	19887
48	1020	19813
49	1037	19708
50	1053	19601
51	1071	19542
52	1091	19494
53	1108	19421
54	1126	19347
55	1143	19282
56	1162	19228
57	1179	19163
58	1197	19098
59	1216	19058
60	1236	19031
61	1254	18980
62	1272	18932
63	1290	18871
64	1308	18824
65	1329	18819
66	1346	18754
67	1363	18685
68	1379	18615
69	1395	18544
70	1412	18484
71	1429	18422
72	1445	18360
73	1464	18321
74	1482	18279
75	1498	18218
76	1515	18170
77	1535	18149
78	1553	18113
79	1572	18086
80	1589	18038
81	1608	18003
82	1628	17988
83	1645	17941
84	1666	17937
85	1686	17922
86	1706	17907
87	1726	17890
88	1744	17860
89	1763	17826
90	1779	17779
91	1796	17731
92	1814	17696
93	1832	17660
94	1849	17619
95	1867	17583
96	1885	17551
97	1904	17532
98	1921	17491
99	1938	17446
100	1957	17419
101	1987	17500
102	2007	17485
103	2024	17438
104	2042	17406
105	2061	17383
106	2077	17339
107	2094	17299
108	2114	17285
109	2133	17259
110	2153	17247
111	2171	17219
112	2191	17204
113	2213	17205
114	2231	17169
115	2247	17130
116	2265	17095
117	2282	17061
118	2301	17038
119	2321	17021
120	2341	17010
121	2361	16995
122	2384	17002
123	2406	17000
124	2425	16976
125	2446	16971
126	2465	16950
127	2484	16922
128	2501	16893
129	2520	16868
130	2538	16840
131	2556	16811
132	2574	16785
133	2592	16753
134	2609	16722
135	2628	16699
136	2647	16676
137	2666	16655
138	2684	16625
139	2702	16602
140	2772	16889
141	2801	16924
142	2820	16901
143	2838	16873
144	2858	16852
145	2875	16822
146	2893	16790
147	2912	16765
148	2930	16738
149	2946	16696
150	2962	16655
151	2980	16628
152	2997	16591
153	3014	16558
154	3031	16528
155	3051	16507
156	3068	16478
157	3086	16448
158	3103	16415
159	3122	16392
160	3140	16364
161	3159	16343
162	3179	16324
163	3198	16305
164	3218	16286
165	3237	16265
166	3257	16247
167	3275	16221
168	3293	16194
169	3310	16164
170	3329	16139
171	3347	16112
172	3366	16095
173	3384	16067
174	3403	16045
175	3421	16020
176	3439	15991
177	3457	15967
178	3477	15950
179	3495	15922
180	3513	15897
181	3533	15879
182	3550	15853
183	3570	15834
184	3590	15816
185	3608	15792
186	3627	15770
187	3646	15751
188	3666	15734
189	3683	15702
190	3703	15685
191	3723	15668
192	3740	15641
193	3757	15612
194	3777	15593
195	3795	15568
196	3811	15535
197	3828	15508
198	3845	15479
199	3864	15458
200	3884	15441
201	3903	15422
202	3921	15396
203	3940	15374
204	3957	15345
205	3974	15320
206	3992	15295
207	4010	15271
208	4028	15246
209	4045	15218
210	4062	15190
211	4079	15163
212	4097	15137
213	4116	15119
214	4133	15092
215	4151	15069
216	4170	15046
217	4187	15021
218	4206	15000
219	4223	14975
220	4239	14945
221	4255	14914
222	4273	14891
223	4291	14866
224	4310	14847
225	4333	14840
226	4353	14824
227	4373	14808
228	4393	14791
229	4411	14768
230	4429	14747
231	4449	14730
232	4468	14710
233	4486	14685
234	4502	14658
235	4519	14631
236	4536	14604
237	4555	14583
238	4572	14559
239	4589	14532
240	4607	14510
241	4625	14488
242	4643	14466
243	4663	14450
244	4681	14425
245	4701	14410
246	4718	14384
247	4736	14363
248	4755	14343
249	4775	14327
250	4793	14304
251	4811	14280
252	4829	14258
253	4847	14235
254	4865	14215
255	4882	14189
